st_name,stcd
崔家桥北街,31025212
杨河固,31025213
北二十里铺,31025214
冯宿,31025250
郭家庙,31025251
里方,31025252
雷高利,31025253
师良,31025254
杨贾,31025255
辛村乡,31025256
李北郭,31025257
丁桥口,50429400
蔡口,50429401
刘楼,50429402
孟庄,50800750
新旺居委会,50823201
大董庄,50823202
前杨庄,50823203
大陈,50826550
穆店乡,50826556
阎小庄,50868406
四山,62012101
棠梨树,62015000
太子寺,62021411
玉皇庙,62022691
马家场,62022692
石庙,62024005
徐营,62024701
方山水库,62024702
高峰,62047900
二潭,62048200
柳树底,62048300
杏山,62048400
镇平,62048700
芦医,62048900
贾宋,62049000
四山,62049101
青山前,62049102
大河东,62049103
西黑龙庙,62049104
曲屯,62049105
韩营,62049106
街北村,62049107
东赵营,62049108
官寺,62049109
常营,62049400
刘家岗,62050001
安国,62050002
姜庄,62050003
李桥,50322050
邢庄,50322100
万老庄,50322101
徐湾,50322151
陈店,50322152
十里铺,50322153
黄楼,50322154
孙召,50322155
弥陀寺,50322156
韩集,50322157
砖店,50322158
栎城,50322159
小李庄,50322160
洪山庙,50326500
冯围孜,50326750
宋岗,50326851
关津,50326852
练村,50326853
杨庄户,50326854
何营,50326855
棠村,50326856
河坞乡,50326857
化庄集,50326900
阎庄,50327101
小张庄,50320700
吕店,50320701
黄湾,50320750
焦子岗,50320901
出山,50320902
徐庄,50320903
合水,50320904
唐庄,50320905
月林,50320906
宋营,50320907
权寨,50321100
张堂,50321101
大郭,50321150
徐楼,50321151
庄王,50321201
顾庙,50321202
油坊张,50323303
师灵,50323304
关桥,50323305
毛庄,50323306
宋集,50323307
苗庄,50323308
仪封,50323952
汪庄,50324000
专探,50324001
罗阁,50324002
焦庄,50324050
二郎,50324051
舞阳,50320650
纸房,50628350
孟寨,50629900
放磨店,50629901
大岗,50629902
伸张,50629903
周柴,50629904
章化,50629905
刘集,50629906
保和,50630050
坡杨,50630100
放磨店,52629901
新李庄,31020249
宁郭,31020250
丰顺店,31020254
三阳,31020255
西陶,41422241
北郭,41422242
大虹桥,41422245
东石寺,41425701
谢旗营,41425702
邢庄,41425703
圪垱店,41425704
二铺营,41425705
小马营,41425706
东唐郭,41702401
童贯,41702402
西小庄,41702406
杨店,62016201
源潭镇,62026206
少拜寺,62054800
大河屯,62054900
少拜寺(1),62054901
李庄水库,62054902
范庄,62056201
张马店,62056500
毕店,62057000
祁仪,62057100
昝岗,62057200
田桥水库,62057400
田桥水库,62057401
白秋,62057600
湖阳,62057800
太山水库,62057810
李油坊,62057820
王楼,62057830
临泉一水库,62057840
满岗,62057850
南牛庄,62057860
前吴庄,62057861
苍台,62057900
前庄,62058201
张马店(1),62058202
王油坊,62058203
上刘庄,62058204
内黄,31004050
大堤口,31024051
碾头,31024052
林子,31024053
东四牌,31024054
千口,31025350
西野庄,31025351
北冯,31025352
东江,31025353
裴辛庄,31025354
桑村,31025401
小徐,31025402
东大城,31025410
靳庄,31025411
二杨庄,31025412
甘庄,31025430
庆丰庄,31025431
楚旺,31025432
中召,41427500
原武,41425750
陡门,41425751
包厂,41425752
板张庄,41425753
蒋庄,41425754
韩董庄,41425755
大宾,41425850
杨大寨,41425851
梁寨,41425852
原武,41425853
师寨,41425950
圈娄,41425951
祝楼,41425952
赵清庄,41425953
福宁集,41425954
王杏兰,41425955
原阳,41426050
牛井,41426051
葛埠口,41426052
靳堂,41426053
阳阿,41426054
西别河,41426100
太平镇,41426101
党寨,41426102
李辛庄,41426250
郭庄,41426311
马楼,41427900
朱沙沃,41427901
吴坝,41427902
夹河,41427903
东影堂,41427904
东影堂,41427905
葛集,41427906
郑州水文局,50606602
市水务局,50606614
市委,50606615
高庙,50630370
牛王庙嘴,50630450
大李庄,50631353
沟赵,50631354
歇马营,50631800
大营,50631950
郝寺,50631951
大桥,50632000
邹家,50632001
韩佐,50633050
洧川,50633100
张市,50821900
荣村,50821901
大马,50821902
郭佛,50821903
中杜柏,50822101
小河,50621402
宋庄,50621403
康封,50621404
范湖,50621450
后河庄,50621451
姜庄,50621650
山前姜庄,50621651
岗西前街,50621652
光门李,50621653
庙坡,50621654
刘楼,50628051
张村,50628052
房村,50628053
李吾庄,50628054
高集,50631900
练寺,50633250
陈贾,50633251
洼刘,50633252
刁陵,50633253
